app,bu,criticality,env,services
"APP-12796","Data Analytics Engineering","Low","PRD","[""SERVICE-63D026814D04A450"",""SERVICE-0FE5E4EC02F1BB47"",""SERVICE-2DA4BF938087804B"",""SERVICE-E2FAADEFF16D0843"",""SERVICE-DC909687D44D2B4A"",""SERVICE-88B651139F3C5415"",""SERVICE-2505A7C239BC2A8E"",""SERVICE-692F67FD7FE05524"",""SERVICE-2AC677E55C7ED817"",""SERVICE-F3001273976EB38F"",""SERVICE-5BA60E59D29A3BB6"",""SERVICE-DFA4794BB5640087"",""SERVICE-1EBFC5F6AE23B5FD"",""SERVICE-1447A649D5FBC689"",""SERVICE-34C1E3FC4FA808FA"",""SERVICE-C2499C7C03FBDC5F"",""SERVICE-D5681DD88DDBB6F2"",""SERVICE-58B035C5E9788133"",""SERVICE-EF65505B008DA215"",""SERVICE-C2C079D562F1BCB5"",""SERVICE-D1AE1487862843A3"",""SERVICE-29BD2E682FBC6806"",""SERVICE-C84122E34764693E"",""SERVICE-8AF14619F69DD1A6"",""SERVICE-D8A60185F43828B0"",""SERVICE-ACD8C7A9168154F2"",""SERVICE-B9F409014445F230"",""SERVICE-9953D257C10347D1"",""SERVICE-86F1788875528402"",""SERVICE-6FFF504E0DC81C3E"",""SERVICE-FF1990C791A3153E"",""SERVICE-4EA5363B5689A18F"",""SERVICE-509683D08F49950E"",""SERVICE-5352CCB299AF86C3"",""SERVICE-0CC473864CF1C21F"",""SERVICE-F0B7B46B42A1F4F0""]"
"APP-12797","Data Analytics Engineering","Low","PRD","[""SERVICE-9832D30D5D078BBD"",""SERVICE-40BE6B65E2333FD4"",""SERVICE-C05E1BC71957ABB7"",""SERVICE-6AE3FFB33194EDC7"",""SERVICE-B2E60C26F96ECF14"",""SERVICE-BD0F7D73B65F7CCB"",""SERVICE-CAEDDB386EEF8EA4"",""SERVICE-E10F8F8ED5F5093F"",""SERVICE-FCD362AAEA2E46C0"",""SERVICE-D77793305B9FAA2B"",""SERVICE-6EAC6D27A9AA6C2D"",""SERVICE-8F6AA6E13C33CD22"",""SERVICE-197839EBE52E1DE6"",""SERVICE-B3E6F76020654692"",""SERVICE-33B3D0AB83EC233B"",""SERVICE-A6395277F4E767BC"",""SERVICE-B8FBC069AC3D9715"",""SERVICE-63E8E8B2EE12675C"",""SERVICE-722AE023CB321B88"",""SERVICE-F62459B1B846143A"",""SERVICE-B3396A34FA95BA5F"",""SERVICE-F9EA4F8C9D948991"",""SERVICE-A2640C5B680E5C03"",""SERVICE-8E52641B8156EEB6"",""SERVICE-5392D1D94452D354"",""SERVICE-261928E3FB0811F5"",""SERVICE-B2294E7D74CD5D54"",""SERVICE-0D1B3D44041DBB37"",""SERVICE-3D0DDAF337A61E21"",""SERVICE-51B2BD3B42492681"",""SERVICE-A821FF7C5E8FFFBD"",""SERVICE-C547127154588C7D"",""SERVICE-173B9589F1FD3B84"",""SERVICE-FE16DA23D4B17DAD"",""SERVICE-6DF69FC9E35F1B94"",""SERVICE-454F4C98376C0DB8""]"
"APP-12815","ZAAM","Low","PRD","[""SERVICE-75E742E0F101DF95"",""SERVICE-6BCAD75D44998414"",""SERVICE-150999E1434BA56C""]"
"APP-1284","Data Mgmt","High","PRD","[""SERVICE-654D7CCBBD566E4F"",""SERVICE-A8232FF04D0452A9"",""SERVICE-BF6FF1211269822E"",""SERVICE-96E63143B0FC54F7"",""SERVICE-94C1199191DD5CF2""]"
"APP-13012","Adv Tech & Ent Sol","High","PRD","[""SERVICE-F54B808430D1B5A8"",""SERVICE-1D27459BAB6BB082"",""SERVICE-140BA803ECDE3D80"",""SERVICE-BFBEA4756C2FFF1C""]"
"APP-13059","Application Delivery","Low","PRD","[""SERVICE-F6F7940BBF0F62B0"",""SERVICE-E0DB202F31F275AB""]"
"APP-1309","Data Mgmt","High","PRD","[""SERVICE-73B336782E7D3405"",""SERVICE-0BA5C7CB79B7B8F6"",""SERVICE-BBEBB320AAE8F367""]"
"APP-13308","Adv Tech & Ent Sol","Low","PRD","[""SERVICE-F8F32CD70A636F0C"",""SERVICE-B69CECB9AD3167DE"",""SERVICE-34A6EA418DB2A258"",""SERVICE-8EBA624D96CB4AA9"",""SERVICE-AB0210E8F939C5CE"",""SERVICE-CB7782DB26182DC4"",""SERVICE-46CAB32D8CF354F7""]"
"APP-13743","IT Infrastructure & Operations","Low","PRD","[""SERVICE-5F7C89850C80E07A"",""SERVICE-6B8D21774E9D3C79"",""SERVICE-A12A31CBA21E3CE3"",""SERVICE-3044139EF37F783E""]"
"APP-1544","Application Delivery","High","PRD","[""SERVICE-C1F3EC7B7554C450"",""SERVICE-FE82C390CE1FE7D2"",""SERVICE-348F5D476365779D"",""SERVICE-280DEF772E267530"",""SERVICE-485CAF0A1FAFE6BD"",""SERVICE-649EE8A86B5F4900"",""SERVICE-6FB57D7F643041E3"",""SERVICE-3E20566BF7608BEA"",""SERVICE-E8957E13417081E4"",""SERVICE-7EDED2E40B77B6AC"",""SERVICE-5D001E93ECEEF9DD"",""SERVICE-AB16893B687D5005"",""SERVICE-5B8E559FAAE3DE8A"",""SERVICE-0158AC3643CDF1AD"",""SERVICE-B033B6D348C05304"",""SERVICE-8B626B885884A7F9"",""SERVICE-D0150953D26AAB35"",""SERVICE-CB1B2DAF34E12E29"",""SERVICE-70405E096A3B36D0"",""SERVICE-90DE3B963D72AB4C"",""SERVICE-816A382744DB5137"",""SERVICE-8EAA17D4C57899E8"",""SERVICE-3B6C2045CC769730"",""SERVICE-D20E50D229CFCB76"",""SERVICE-6A4D1D6A34667C2F"",""SERVICE-97A639A6AFC68630"",""SERVICE-12824DFE1DFBA07E"",""SERVICE-29C188AFFFA4FBDF"",""SERVICE-E1EC5188C722B5E4"",""SERVICE-834B23B90949866B"",""SERVICE-B433C6741D672371"",""SERVICE-701408EF632C5469"",""SERVICE-D07A2D1B5A00CE49"",""SERVICE-D7C56AACF0267AE2"",""SERVICE-94E72231E5969FAB"",""SERVICE-95229D3583D1FDAF"",""SERVICE-8F4CC71241B5CFBA"",""SERVICE-84B6E3305BE3B4E6"",""SERVICE-F87470901EF53D20"",""SERVICE-0086A5E2D48DD97E"",""SERVICE-5872A62793978F0F"",""SERVICE-0F6C1FFF5373E980""]"
"APP-1548","Application Delivery","High","PRD","[""SERVICE-0412F7F8B844785C"",""SERVICE-2C3C6592695FFCD2"",""SERVICE-BCC4FED21994A7C5"",""SERVICE-39CC4B97EB6FEE1E"",""SERVICE-287974EC11BD7F3F"",""SERVICE-467DE4F928E787D4"",""SERVICE-9B39EA4E84A67B3F"",""SERVICE-7128950CF2A5C04C"",""SERVICE-4E1CBB480FE1E39E"",""SERVICE-A4B7B8B81DF56A1B"",""SERVICE-209378FE6AD6F855"",""SERVICE-C3E1241D10DC0385"",""SERVICE-53B9BEB541CC708F"",""SERVICE-3C1D9CB654E688DC"",""SERVICE-50029A1124524801"",""SERVICE-D2F784345AF3D222"",""SERVICE-B3B917FF3205C96F"",""SERVICE-5435ADBA66BBC0AF"",""SERVICE-E4F6EC9212B13DA4"",""SERVICE-D131AEEF2D54C413"",""SERVICE-104D8AC2F94BB3C0"",""SERVICE-2F41B44B7030B109"",""SERVICE-6F497D3D05F42A59"",""SERVICE-4BB02F9EC66D1D5E"",""SERVICE-855264D43CCA9AA5"",""SERVICE-5389D3A8F134B977"",""SERVICE-D93FC099378DEF8D"",""SERVICE-CDD59882E20CF33E"",""SERVICE-EBF603E09DD2E282"",""SERVICE-19F87BAC3F498A2A"",""SERVICE-5310D0F45CDF383D"",""SERVICE-B218939A99F4D75F"",""SERVICE-1F52D2DDA633CAB6"",""SERVICE-B80C7071B052772C"",""SERVICE-E91B53B1EABDE1D7"",""SERVICE-A629E6E0E6C9C9B0"",""SERVICE-1F740459343F0EA6"",""SERVICE-202A815B06B1AD7B"",""SERVICE-05BE9518B28D29FD"",""SERVICE-BD268ADF26E892B8"",""SERVICE-3868BF399F059467"",""SERVICE-A56F20C9A719502C""]"
"APP-1577","Data Analytics Engineering","Low","PRD","[""SERVICE-33B98E4C4C6C3CDC"",""SERVICE-554FFD203757CB47"",""SERVICE-30D5605767AF883E"",""SERVICE-5144E6D4341FBF17"",""SERVICE-F12C7EBA2C2B9579"",""SERVICE-5B2FBB0B92D3DA70"",""SERVICE-DBABD265DF105385"",""SERVICE-B0217D9360F4B3A3"",""SERVICE-4B4D9299172E3B7C"",""SERVICE-6986349D15C154B5"",""SERVICE-BD806138630B413E"",""SERVICE-A904740789947160"",""SERVICE-3F3AF50C97417A6B"",""SERVICE-8DF5CE4CCBE268E2"",""SERVICE-741983C7941869B0"",""SERVICE-10F5CA0CB293278A"",""SERVICE-823004D79202B8FC"",""SERVICE-C40370EC3228522B"",""SERVICE-563663CCA471FD4C"",""SERVICE-93F3A45D849545A3"",""SERVICE-CC42066453D23F20"",""SERVICE-F308F4597674A59A"",""SERVICE-3AF3E3266BD31E47"",""SERVICE-937215B7479368B8"",""SERVICE-1BAFFAE8351A5EC5""]"
