app,hosts,bu,criticality,env
COM-2358,"[""HOST-67E9D309C4848178"",""HOST-4F7271AC838D6D0E"",""HOST-39384B6559EE2BC6"",""HOST-D5EE6ACDF6D2DBA0"",""HOST-1CADA43A361E1367"",""HOST-58A995BB688D6490"",""HOST-A536DF7E5F233820"",""HOST-9A212F608504A5AE"",""HOST-B79959D77A372489"",""HOST-35FFCC438EB9DAFA"",""HOST-4A6092F359DE4DD4"",""HOST-2A5C264EA55CBDDA"",""HOST-D2B5FECE83590E63"",""HOST-E3B51D938AFB64F2"",""HOST-EAB5F9546BEFD806"",""HOST-82D9E42D9A2E5F8C"",""HOST-4E4A838C69B851C5"",""HOST-4599DD15CAE9676D"",""HOST-E0F37F8867460D92"",""HOST-78C6AC092C6632F9"",""HOST-8A7CA60C1379BD49"",""HOST-4F00435DC83C9271"",""HOST-A0857EF5CBE1D289"",""HOST-51DBAB9AFA87A08D"",""HOST-2D754F1609733EF2"",""HOST-F1238E2614DBC5E9"",""HOST-12AEBFD429AA2D52"",""HOST-8C0741865408EE0B"",""HOST-026319C668E9FBE5"",""HOST-5189EE8DEF1C8DB2"",""HOST-4B80F138F5150204"",""HOST-252BEE94389DE8C2"",""HOST-086FA07B4D9AFE2E"",""HOST-2797EB4970785762"",""HOST-DE8018BDA3A8BC45"",""HOST-B80C55423430A33D"",""HOST-A95F3AEB4BE70790"",""HOST-0CDD585C57A11E0B"",""HOST-7A3ED87B7098AD7F"",""HOST-F40DFA11C9BCB575"",""HOST-93178D2B32AF264A"",""HOST-9C53272189487D35"",""HOST-707D8D4051D310EA"",""HOST-295BAC572245CEB9"",""HOST-5D3383C66E5B68F2""]",Adv Tech & Ent Sol,High,PRD
COM-2391,"[""HOST-FABF575BDA6AE334""]",IT Infrastructure & Operations,Low,PRD
COM-2394,"[""HOST-4461C4765C0F7945"",""HOST-C6D28BE6159B5877"",""HOST-9D6519E6ED09941F""]",IT Infrastructure & Operations,Low,PRD
COM-2432,"[""HOST-45DBB7463030E9AB"",""HOST-68AD43E37D22E260"",""HOST-0BF0092B264136DF""]",Adv Tech & Ent Sol,Low,PRD
COM-2512,"[""HOST-C2EBA9E17B47C159"",""HOST-590376E709E5CF3C""]",IT Infrastructure & Operations,Low,PRD
COM-2604,"[""HOST-74AA4A95A814A945""]",null,null,PRD
COM-2773,"[""HOST-730A424D4E9A905C""]",Adv Tech & Ent Sol,High,PRD
COM-3638,"[""HOST-3876FE4518823B28""]",Data Mgmt,Low,PRD
COM-3651,"[""HOST-CE12887FF1FC1384"",""HOST-C97C9A61CA8119A5"",""HOST-6AE2D3E1F9A70090""]",IT Infrastructure & Operations,Low,PRD
COM-3655,"[""HOST-4084FB98AAE7104A"",""HOST-34907B125CF37589"",""HOST-7DB0903617A1D678"",""HOST-03FE0B59E86EB816""]",Crop,Low,PRD
COM-3803,"[""HOST-8208F0D72BCB44CB""]",null,null,PRD
COM-3962,"[""HOST-FDC56C3E23731F64""]",null,null,PRD
COM-4611,"[""HOST-3F52A8A8AC9B54B9""]",Underwriting Systems,Low,PRD
COM-4716,"[""HOST-0C0B8ECB7BB99AEC"",""HOST-EDF46368D5A36C3F"",""HOST-54F84E64166140CD"",""HOST-AC1CD09DD8E0776E"",""HOST-D8C4E135FCEA9867"",""HOST-52496FC0D160B52F""]",null,null,PRD
COM-4812,"[""HOST-DDD5E9FE071D8064"",""HOST-35A2A782B5327805"",""HOST-071EDDF478691048"",""HOST-6CC060F2EB4125BA"",""HOST-B9653CD66170F41B"",""HOST-AA99CABF296B4AAA"",""HOST-40EE0DF907E3697E"",""HOST-3746DB7A18911011"",""HOST-C6F0C9F85D47AE95"",""HOST-C5535165852B53E8"",""HOST-6A77A146AF69041E"",""HOST-1CBE953F8A7E4471"",""HOST-6AB97D86AB015E7D"",""HOST-93A8B22013D4A1DC"",""HOST-FD627236043B3921"",""HOST-EF6600276F951436"",""HOST-A921C40553836F63"",""HOST-1CF7CD140CF139C2"",""HOST-61597AD1A45408CF"",""HOST-049BA08D42B41F17"",""HOST-B202FEC802CF39E5"",""HOST-9EA11D135C59B7B5"",""HOST-0F27F2C2FFFCCABA"",""HOST-6875242AC1522B7D"",""HOST-1B446E87E1B97F30"",""HOST-850EBB6D20ECD1A7"",""HOST-7CB2EE47F7B9214E"",""HOST-C9C31A001956606B"",""HOST-1B6D7FD3F4679E32"",""HOST-3BB972211F8D8A02"",""HOST-09133891212B0C88"",""HOST-5383C1EE1EA2BE7B"",""HOST-5EF4FCBB3A5FB6D2"",""HOST-DABFFB7C708B28A8"",""HOST-A0CDBDE314C677DF"",""HOST-569D28253F65DCD1"",""HOST-D861B971DDAB7056"",""HOST-4153F5071F57D563""]",IT Infrastructure & Operations,High,PRD
COM-4835,"[""HOST-F735C37B94237128"",""HOST-6CFEBB76755AA044""]",Underwriting Systems,Low,PRD
COM-4957,"[""HOST-90577FEAD56F0BE6"",""HOST-A96E5E84F5E7957F"",""HOST-68F9B26E8BC373E8"",""HOST-C0312865112E225F""]",Data Analytics Engineering,High,PRD
COM-4995,"[""HOST-4EC030193D1A0D03""]",Claims & SAP,Low,PRD
COM-5040,"[""HOST-F5DB5DC23127FE01"",""HOST-F76F36ED0D4B7EA0"",""HOST-934EE4A4C0E9AA46"",""HOST-9BE9C715C9C152B7"",""HOST-8261296045A88976"",""HOST-F57F3669184BEC53"",""HOST-9928D978539623D4"",""HOST-C5D4F037D688833A"",""HOST-2D6733EEEC9A0B4B"",""HOST-CB93F46F673D4039"",""HOST-3620E51008B5E42F""]",IT Infrastructure & Operations,Low,PRD
COM-5043,"[""HOST-2013908B5F649C0F"",""HOST-6382D7B5C9261AAA"",""HOST-2883C96BF71A7001""]",IT Infrastructure & Operations,High,PRD
COM-5106,"[""HOST-37789F28003169A4"",""HOST-6DA2845A915599CC""]",Underwriting Systems,Low,PRD
