app,services,bu,criticality,env
APP-12692,"[""SERVICE-D5B5D153BA0FE50C"",""SERVICE-24239E4E6318B3F6""]",null,null,PRD
APP-1270,"[""SERVICE-B9049328B0587098""]",null,null,PRD
APP-12796,"[""SERVICE-E2FAADEFF16D0843"",""SERVICE-D5681DD88DDBB6F2"",""SERVICE-ACD8C7A9168154F2"",""SERVICE-5352CCB299AF86C3"",""SERVICE-0CC473864CF1C21F""]",null,null,PRD
APP-12797,"[""SERVICE-B3E6F76020654692"",""SERVICE-FE16DA23D4B17DAD""]",Data Mgmt,Low,PRD
APP-13012,"[""SERVICE-F54B808430D1B5A8""]",Adv Tech & Ent Sol,High,PRD
APP-13059,"[""SERVICE-E0DB202F31F275AB""]",Data Mgmt,Low,PRD
APP-1309,"[""SERVICE-0BA5C7CB79B7B8F6""]",Data Mgmt,High,PRD
APP-1544,"[""SERVICE-C1F3EC7B7554C450"",""SERVICE-FE82C390CE1FE7D2"",""SERVICE-348F5D476365779D"",""SERVICE-280DEF772E267530"",""SERVICE-6FB57D7F643041E3"",""SERVICE-E8957E13417081E4"",""SERVICE-5D001E93ECEEF9DD"",""SERVICE-5B8E559FAAE3DE8A"",""SERVICE-0158AC3643CDF1AD"",""SERVICE-B033B6D348C05304"",""SERVICE-8B626B885884A7F9"",""SERVICE-70405E096A3B36D0"",""SERVICE-8EAA17D4C57899E8"",""SERVICE-D20E50D229CFCB76"",""SERVICE-6A4D1D6A34667C2F"",""SERVICE-97A639A6AFC68630"",""SERVICE-E1EC5188C722B5E4"",""SERVICE-B433C6741D672371"",""SERVICE-701408EF632C5469"",""SERVICE-D7C56AACF0267AE2"",""SERVICE-94E72231E5969FAB"",""SERVICE-95229D3583D1FDAF"",""SERVICE-8F4CC71241B5CFBA"",""SERVICE-84B6E3305BE3B4E6"",""SERVICE-0F6C1FFF5373E980""]",Underwriting Systems,High,PRD
APP-1548,"[""SERVICE-467DE4F928E787D4"",""SERVICE-E4F6EC9212B13DA4"",""SERVICE-D131AEEF2D54C413"",""SERVICE-BCFB7CAA0ED74D70"",""SERVICE-1F52D2DDA633CAB6""]",Underwriting Systems,High,PRD
APP-1577,"[""SERVICE-5144E6D4341FBF17"",""SERVICE-5B2FBB0B92D3DA70""]",Data Mgmt,Low,PRD
APP-1677,"[""SERVICE-E0793BE1C765624F"",""SERVICE-5B907A1697A7B933"",""SERVICE-9B2F19323085DB85"",""SERVICE-B5F81042124C043C"",""SERVICE-683ADA7B8B09A74E"",""SERVICE-102F28BC3CAAD259"",""SERVICE-2C2658C7B104D14A"",""SERVICE-8A96788387992146"",""SERVICE-18882DC9B4E478D6"",""SERVICE-7957E4AB55EAB6A9"",""SERVICE-162C86F97DAFD402"",""SERVICE-17B9A7915B8EAF02""]",Underwriting Systems,High,PRD
APP-1685,"[""SERVICE-8253C895AD432A3D""]",null,null,PRD
APP-2455,"[""SERVICE-6060DC7C84390FB0"",""SERVICE-FBBEAFB7EF5B1DCE"",""SERVICE-DDDBFA463993728D"",""SERVICE-EECD493B1E0C7E04""]",Claims & SAP,High,PRD
APP-2487,"[""SERVICE-FD1208979EB9BBD9"",""SERVICE-18A8C2182F5141C6"",""SERVICE-4CE5ADC3D1AC6E13"",""SERVICE-0D40892F41F9465B"",""SERVICE-006F62711E81600F"",""SERVICE-38B83FC7FAC36DA5"",""SERVICE-8B1EF3BD5F814DCD""]",Underwriting Systems,High,PRD
APP-2685,"[""SERVICE-E43DFFA1BB01C18A""]",Data Mgmt,High,PRD
APP-3982,"[""SERVICE-E1131CF4A2D94096"",""SERVICE-51F74E7FCFF2AC2F""]",null,null,PRD
APP-4120,"[""SERVICE-244F869986FC7DB0"",""SERVICE-38C339FA59000E54"",""SERVICE-678DDE1C5ED491E4"",""SERVICE-9EC7557576409B1D"",""SERVICE-6618AFF95D66355B""]",Canada,High,PRD
APP-4463,"[""SERVICE-7E6EAC351C1DF71C"",""SERVICE-01A779177E411352"",""SERVICE-7D9B9C0F52B009FC"",""SERVICE-1776659FEDEA4DBF""]",null,null,PRD
APP-4982,"[""SERVICE-61E46F01B75C9DD3"",""SERVICE-9E8C5BE365AB9232"",""SERVICE-F8C6EFE90AB7DA12"",""SERVICE-4C9FDBC63BC38E1A"",""SERVICE-23AD37CB51E580B2"",""SERVICE-348EFB9A3AD9F7BD"",""SERVICE-7D3C9ABBC31EC693"",""SERVICE-36930FAFC82B3596""]",Claims & SAP,High,PRD
APP-4989,"[""SERVICE-0AC6101E7705808C""]",Claims & SAP,High,PRD
APP-6189,"[""SERVICE-7B207E80B25A7E03"",""SERVICE-ABB21A5DCA5F60AA""]",null,null,PRD
APP-6409,"[""SERVICE-0BA45640F4634A53""]",Underwriting Systems,High,PRD
APP-6557,"[""SERVICE-DAA5E4031A28BE0B"",""SERVICE-CE6F86525846599A""]",Claims & SAP,High,PRD
APP-6597,"[""SERVICE-6D0421C6DCA602B9"",""SERVICE-6A2570A3C60B8C48"",""SERVICE-8AABBF72B53E5E29"",""SERVICE-0477364B7A896FFF""]",Underwriting Systems,High,PRD
APP-6879,"[""SERVICE-DD28AEA1CDE9E8E3"",""SERVICE-1E64F6116CDDE996""]",Data Mgmt,High,PRD
APP-7026,"[""SERVICE-9A15385005753662"",""SERVICE-6B1E87001B546AFC"",""SERVICE-EAE72642C70872AA"",""SERVICE-5533EFA4FB636024"",""SERVICE-45AE94BDCFC5A533""]",Crop,Low,PRD
APP-7169,"[""SERVICE-E1E504A8D43B99BF""]",Canada,High,PRD
APP-7483,"[""SERVICE-5F1D53446DF10404"",""SERVICE-CAA74518DA23E5B4""]",Crop,High,PRD
APP-7765,"[""SERVICE-251BF6DAA97554C6"",""SERVICE-F4DF69508F87EACA"",""SERVICE-4849A45575331845"",""SERVICE-635CE7130246763D""]",Adv Tech & Ent Sol,High,PRD
APP-7776,"[""SERVICE-AFF65DDF941D355C"",""SERVICE-F38C91329E18D535""]",Adv Tech & Ent Sol,High,PRD
APP-7826,"[""SERVICE-19DC6C00C3FEBFAB""]",null,null,PRD
APP-8697,"[""SERVICE-E20C9D4C06D8256F"",""SERVICE-DD689D7A11569D82"",""SERVICE-9F191A1C80D02B94"",""SERVICE-7380BB6582E93DA3"",""SERVICE-AFA2B1602D80059F"",""SERVICE-2E3F46007EC29698"",""SERVICE-FCE7CFBCF48CB656"",""SERVICE-64C42731EE2CBE0F"",""SERVICE-E89A2A1DF78D8A98"",""SERVICE-D20EDF7EB18CF50C"",""SERVICE-C3954F9F76B46F58"",""SERVICE-8CA368AB5E0E5655""]",Adv Tech & Ent Sol,Low,PRD
APP-8781,"[""SERVICE-EE94390D12A44A2E"",""SERVICE-478FF8622C82C72B"",""SERVICE-CDDC2D7C621955FD"",""SERVICE-3D00A69656F93E7A"",""SERVICE-368A545E93B40906"",""SERVICE-5A54A16297B0B244"",""SERVICE-56DE5453C57CD647""]",Underwriting Systems,High,PRD
APP-8941,"[""SERVICE-1FB73F8B6CB2B8E4"",""SERVICE-DC1EFB331A2A4621"",""SERVICE-8B681D28762CE10B"",""SERVICE-0E05C33C09EC0DFF""]",Underwriting Systems,Low,PRD
APP-9417,"[""SERVICE-3AFF691324CCE5C4"",""SERVICE-188E5A9D29B49675"",""SERVICE-297610BA66AE88A8"",""SERVICE-ACEDFAFB55FF0E67""]",Data Mgmt,High,PRD
APP-946,"[""SERVICE-80325E9C93887A42"",""SERVICE-31CC9F48B0B5E2F4""]",Underwriting Systems,High,PRD
APP-9605,"[""SERVICE-98F3147709A1D7C3"",""SERVICE-E019B432D139D3CA"",""SERVICE-58F25EF07F319CAF"",""SERVICE-08CB7DC547EE6523"",""SERVICE-BC13E1BA3B945C38"",""SERVICE-E3DA2BF598BD82D0"",""SERVICE-B5E6E7C4D7C806CC"",""SERVICE-87B3D7A517168261"",""SERVICE-3354C70333BD0260"",""SERVICE-E6C01F35251A5C8B"",""SERVICE-79F3BA14B91D9D87"",""SERVICE-23486CF544FD6933"",""SERVICE-3F818C57C1FD778B"",""SERVICE-CBFC836988CB4485"",""SERVICE-5D3FF769C88BD71B"",""SERVICE-6EF44EC14D5563C3"",""SERVICE-9932FD25C96962BC"",""SERVICE-5DBD8FC93AB2636C"",""SERVICE-3F7ADD168B19E375""]",Claims & SAP,Low,PRD
APP-9617,"[""SERVICE-38A8357DA8A39159"",""SERVICE-203293DF52E5BEC9"",""SERVICE-958A1EB74223AEA1"",""SERVICE-C95F0A84A78DBB36"",""SERVICE-7B244535355F94D6"",""SERVICE-98C440F28C0BBABD"",""SERVICE-1ED4AD112E9715A6"",""SERVICE-063BE28FE41EA9D2""]",Canada,Low,PRD
APP-9705,"[""SERVICE-02B83842F2273FE9"",""SERVICE-8020FD2D61EF5B8C""]",null,null,PRD
APP-9711,"[""SERVICE-921139C3B7CE2E2D"",""SERVICE-CF0DB2BD379EFEE7"",""SERVICE-754FCFC9233EEAA7"",""SERVICE-66B91F63A71F0675"",""SERVICE-EB24B675EC2363FF"",""SERVICE-87F74791EEB807BA"",""SERVICE-F7AE746E9747EFCB"",""SERVICE-83A848DCF0CEC384"",""SERVICE-E0764FB75C620557"",""SERVICE-10A6992DD381253F"",""SERVICE-E12F04452FB7324B"",""SERVICE-5163575C3DFF8249"",""SERVICE-59ED9CDEEDF632E4"",""SERVICE-F5411ED494229A3D"",""SERVICE-8072E783F5EB504F"",""SERVICE-871C713D08521C37"",""SERVICE-21C3F674C37B5121"",""SERVICE-25F8C115B59D7D86"",""SERVICE-E9427CB1A5AC1652"",""SERVICE-91D22BAA5558E079"",""SERVICE-8E006BBAC92E04FE"",""SERVICE-9764A0E0DAE5A452"",""SERVICE-F4B110441E40771A""]",Underwriting Systems,High,PRD
COM-2358,"[""SERVICE-DB25E691402A28D8"",""SERVICE-2A820B4261A917EA"",""SERVICE-B99DF41CEAD35C7B"",""SERVICE-5ABABBDA00B89D21"",""SERVICE-4001A233587D7DFC"",""SERVICE-6F19F92086252898"",""SERVICE-753AAFF9AE9C595F"",""SERVICE-D2F18465A6DADA3B""]",Adv Tech & Ent Sol,High,PRD
COM-2432,"[""SERVICE-C9A556F9CEB76503"",""SERVICE-2C55B85964649B7E"",""SERVICE-0F21C9CB00BA9BDC"",""SERVICE-2038F710D799838D""]",null,null,PRD
COM-3651,"[""SERVICE-7087C3C8A3CC488B""]",IT Infrastructure & Operations,Low,PRD
COM-4716,"[""SERVICE-424A7636A6D04ED0"",""SERVICE-6A8E6DBFAFB8DE20"",""SERVICE-941DA13F1E71B6DF"",""SERVICE-3ECBD4B092B7617C"",""SERVICE-F4576183486943FD"",""SERVICE-1B9A03F5A1419696"",""SERVICE-9BBC1723A667C2CB""]",null,null,PRD
COM-4812,"[""SERVICE-950B7425D56F150C"",""SERVICE-6D59DC123EA722A5""]",IT Infrastructure & Operations,High,PRD
COM-4995,"[""SERVICE-20B5297858AE907E""]",null,null,PRD
COM-5372,"[""SERVICE-1680AA036DFD3BA0""]",Adv Tech & Ent Sol,Low,PRD
COM-5901,"[""SERVICE-DF37806445712BEC"",""SERVICE-008E327209F0B2EC"",""SERVICE-7E65AA40182035AF"",""SERVICE-01C41573D1021BE6"",""SERVICE-1DF0E381B28716FB"",""SERVICE-287A6DEF6953A1B4""]",Crop,Low,PRD
COM-6105,"[""SERVICE-ACF8C5C25E6E86A8"",""SERVICE-0E890EFFA3D71324"",""SERVICE-7F68B196A456943D"",""SERVICE-A465A279DE00FFCE"",""SERVICE-76E46FB0D9851F52"",""SERVICE-BC5D9E0F19E217D3"",""SERVICE-47642212BB72B55E"",""SERVICE-0FFDEB873B72EBB1"",""SERVICE-7F0F4935616FD105"",""SERVICE-AB79F48451192750"",""SERVICE-23D9BE9AB44CE175"",""SERVICE-E0838147B9BE975B"",""SERVICE-8F8EA74F229AC1E1""]",Adv Tech & Ent Sol,Low,PRD
COM-6359,"[""SERVICE-A50770849C7C57FD"",""SERVICE-BB0A9CE773B21585""]",null,null,PRD
COM-6934,"[""SERVICE-8F0D38B0C9E772E9""]",Claims & SAP,Low,PRD
COM-7765,"[""SERVICE-07BED8C83F6FD474"",""SERVICE-82B74E054248F9AE"",""SERVICE-5CDB7EF8285CD8E5"",""SERVICE-49A6F1FC1FD5813E"",""SERVICE-6B11E671DEB96B65"",""SERVICE-561D9E81F7E85651"",""SERVICE-85C3707959D7CA85""]",Canada,High,PRD
COM-8150,"[""SERVICE-CB8F9C6BC79DBEDD"",""SERVICE-75136E191779F4B4"",""SERVICE-865E332502B98FE4"",""SERVICE-37B190C3E39F4815"",""SERVICE-8914BB7D3A43C8B0"",""SERVICE-F81563344F34415A""]",Crop,Low,PRD
